"";;"VALENTINI COMERCIO DE CALCADOS EIRELI LTDA";;;;;;"RELATÓRIO DE ESTOQUES POR GRADE";;;;;;;;;;;;;;"DATA:";"27/08/2014";;;
;;"89190-000  TAIO  SC";"";;;"SITUAÇÃO EM 27 DE AGOSTO DE 2014";;;;;;;;;;"PÁG.:";"1";
;;" Filiais: '1'";;;
"REFERÊNCIA/DESCRIÇÃO";;;;"";;;"UNIDADE";;"TAMANHOS";;;"";;;;;;;;;;;;;;;;"TOTALESTOQUE";"VALORFINANCEIRO";"CUSTOMÉDIO";;;;"";
"";;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FORNECEDOR: 62 - ADDER - J.CORREA";;;;;;;;;
"FORNECEDOR: 666 - DAKOTA NORDESTE SA - PINK CATS";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"294798 - KOLOSH K9311";;;;;;;;"PR";"37";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"CINZA";;;;;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"80,84";;"80,84";;;"";
"";;;;;"Total Fornecedor";;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"80,84";;"80,84";;;"";
"FORNECEDOR: 946 - DIADORA - DILLY";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"296446 - DIADORA STRIKE C0338";;;;;;;;"UN";"33";"34";"35";"36";"37";"38";"";;"";"";;"";"";"";;"";"";"";"";
"";;"ROSA";;;;;;;"6";"1";"1";"1";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"11";"479,70";;"43,61";;;"";
"296445 - DIARORA WINNER C0447";;;;;;;;"UN";"33";"35";"36";"37";"38";"39";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"CINZA";;;;;;;"6";"1";"1";"2";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"12";"569,70";;"47,48";;;"";
"";;;;;"Total Fornecedor";;;;"12";"2";"2";"3";"2";"2";"";;"";"";;"";"";"";;"";"";"";"";"23";"1.049,40";;"45,63";;;"";
"FORNECEDOR: 903 - FERMA CALÇADOS";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"295355 - FERMA  A2021";;;;;;;;"PR";"40";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";
